,std,name
583,KR7105740005,디케이락
584,KR7263020000,디케이앤디
585,KR7290550003,디케이티
586,KR7066670001,디티씨
587,KR7187220009,디티앤씨
588,KR7383930005,디티앤씨알오
589,KR7131180002,딜리
590,KR7315640003,딥노이드
591,KR7223310004,딥마인드
592,KR7317120004,라닉스
593,KR7462510009,라메디텍
594,KR7042510008,라온시큐어
595,KR7232680009,라온테크
596,KR7418420006,라온텍
597,KR7300120003,라온피플
598,KR7171120009,라이온켐텍
599,KR7388790008,라이콤
600,KR7347700007,라이프시맨틱스
601,KR7214260002,라파스
602,KR7403360001,라피치
603,KR7171010002,램테크놀러지
604,KR7084650001,랩지노믹스
605,KR7217500008,러셀
606,KR7092590009,럭스피아
607,KR7038390001,레드캡투어
608,KR7294140009,레몬
609,KR7443250006,레뷰코퍼레이션
610,KR7228670006,레이
611,KR7228850004,레이언스
612,KR7412350001,레이저쎌
613,KR7199550005,레이저옵텍
614,KR7281740001,레이크머티리얼즈
615,KR7277810008,레인보우로보틱스
616,KR7215100009,로보로보
617,KR7090360009,로보스타
618,KR7238500003,로보쓰리에이아이
619,KR7108490004,로보티즈
620,HK0000295359,로스웰
621,KR7223220005,로지스몬
622,KR7067730002,로지시스
623,KR7071280002,로체시스템즈
624,KR7032350001,롯데관광개발
625,KR7089860001,롯데렌탈
626,KR7330590001,롯데리츠
627,KR7000400002,롯데손해보험
628,KR7023530009,롯데쇼핑
629,KR7020150009,롯데에너지머티리얼즈
630,KR7280360009,롯데웰푸드
631,KR7286940002,롯데이노베이트
632,KR7004000006,롯데정밀화학
633,KR700499K014,롯데지주우
634,KR7004990008,롯데지주
635,KR7005301007,롯데칠성우
636,KR7005300009,롯데칠성
637,KR7011170008,롯데케미칼
638,KR7071840003,롯데하이마트
639,KR7328130000,루닛
640,KR7038060000,루멘스
641,KR7474170008,루미르
642,KR7162120000,루켄테크놀러지스
643,KR7253610000,루트락
644,KR7141080002,리가켐바이오
645,KR7058470006,리노공업
646,KR7016100000,리더스코스메틱
647,KR7012700001,리드코프
648,KR7302550009,리메드
649,KR7073570004,리튬포어스
650,KR7377450002,리파인
651,KR7277070009,린드먼아시아
652,KR7042500009,링네트
653,KR7193250008,링크드
654,KR7219420007,링크제니시스
